mmsi,ping_a_ts,ping_b_ts,lat_a,lon_a,lat_b,lon_b,implied_speed_knots,distance_nm,window_minutes
219026000,1755098987.0,1755098988.0,55.142845,14.41558,55.143025,14.414745,110.2,0.031,6.0
219026000,1755099347.0,1755099348.0,55.153463,14.365677,55.153667,14.364703,128.1,0.036,6.0
219026000,1755100427.0,1755100428.0,55.184583,14.214278,55.184755,14.213437,110.2,0.031,6.0
219026000,1755127800.0,1755127801.0,55.35318,12.537875,55.352838,12.538518,108.2,0.03,6.0
219026000,1755136441.0,1755136442.0,55.164288,13.75291,55.164227,13.753773,107.4,0.03,6.0
219459000,1755105495.0,1755105496.0,55.224235,7.504592,55.224403,7.505205,83.8,0.023,6.0
219459000,1755109818.0,1755109819.0,55.345422,7.943265,55.345672,7.944185,125.3,0.035,6.0
219459000,1755125898.0,1755125900.0,55.464897,8.327337,55.464493,8.326517,66.6,0.037,6.0
219459000,1755126618.0,1755126620.0,55.442257,8.269513,55.44186,8.268545,73.2,0.041,6.0
212949000,1755108593.0,1755108594.0,54.582667,11.122403,54.582725,11.123358,120.3,0.033,6.0
212949000,1755109313.0,1755109314.0,54.574218,11.17886,54.573963,11.179708,119.7,0.033,6.0
212949000,1755113643.0,1755113644.0,54.472475,11.524597,54.472217,11.52554,130.9,0.036,6.0
212949000,1755130583.0,1755130584.0,54.802077,12.490758,54.802533,12.491103,107.5,0.03,6.0
212949000,1755197636.0,1755197637.0,55.54606,12.782687,55.545605,12.782018,127.9,0.036,7.3
212949000,1755202756.0,1755202757.0,55.263038,12.629832,55.262557,12.629842,104.0,0.029,6.0
212949000,1755209245.0,1755209246.0,54.927235,12.586393,54.926888,12.586033,87.3,0.024,6.0
636017416,1755052949.0,1755052950.0,57.136322,11.958225,57.136888,11.957813,131.5,0.037,6.0
636017416,1755055830.0,1755055831.0,57.281318,11.819772,57.281788,11.81901,135.1,0.038,6.0
636017416,1755058349.0,1755058350.0,57.390808,11.64301,57.391232,11.642327,121.4,0.034,6.0
636017416,1755060149.0,1755060151.0,57.460933,11.511588,57.46134,11.510753,65.5,0.036,6.0
636017416,1755064109.0,1755064110.0,57.582182,11.17917,57.582338,11.178265,110.2,0.031,6.0
636017416,1755065910.0,1755065911.0,57.630658,11.024508,57.631025,11.023938,103.2,0.029,6.0
636017416,1755153163.0,1755153164.0,57.771635,7.663698,57.771663,7.6628,103.7,0.029,6.0
636017416,1755155322.0,1755155330.0,57.781167,7.342163,57.781372,7.334803,106.2,0.236,6.1
