mmsi,gap_start_ts,gap_end_ts,gap_hours,implied_speed_knots,start_lat,start_lon,end_lat,end_lon,distance_nm
211205970,1755089706.0,1755115387.0,7.134,7.11,54.279058,7.93382,53.519515,8.559293,50.687
255999000,1755043202.0,1755069061.0,7.183,5.27,53.847328,3.314273,54.406277,2.816787,37.85
354211000,1755096432.0,1755112142.0,4.364,12.53,55.906413,17.631448,56.439187,18.9577,54.663
248219000,1755159893.0,1755190548.0,8.515,1.32,55.009537,17.178023,54.993193,17.502775,11.226
266460000,1755142926.0,1755184147.0,11.45,1.01,54.6388,5.1898,54.701652,5.504968,11.575
219034486,1755156517.0,1755180078.0,6.545,7.22,54.031125,7.55074,53.61343,6.421383,47.233
304354000,1755092010.0,1755109132.0,4.756,2.92,53.852913,9.31026,53.653665,9.509373,13.895
636018560,1755158977.0,1755180670.0,6.026,13.97,55.406123,7.372762,54.009,7.585667,84.208
636018560,1755183995.0,1755202352.0,5.099,5.82,53.873167,7.823833,53.596833,8.516833,29.682
211141000,1755074421.0,1755105693.0,8.687,5.92,53.59017,8.524333,54.259553,7.615707,51.45
305654000,1755085982.0,1755112867.0,7.468,6.23,54.159147,9.393817,54.008365,8.097237,46.553
211484000,1755090130.0,1755133510.0,12.05,1.02,53.427553,6.961403,53.561578,6.699807,12.331
235111522,1755091927.0,1755112064.0,5.594,3.16,54.438033,7.667833,54.174967,7.8955,17.694
244049000,1755054715.0,1755069479.0,4.101,2.13,52.861842,4.607328,52.96933,4.769225,8.718
636009548,1755071821.0,1755106327.0,9.585,6.89,53.88758,9.17986,53.975747,7.317088,66.057
236750000,1755071099.0,1755134616.0,17.644,1.91,53.338513,7.203417,53.671678,6.441707,33.763
236750000,1755146721.0,1755178376.0,8.793,3.11,54.44341,6.75368,54.02488,6.447907,27.324
211517490,1755072377.0,1755200931.0,35.709,1.05,53.153823,8.288348,52.868548,9.211752,37.497
211876190,1755062638.0,1755116487.0,14.958,3.63,53.1227,8.73225,53.874388,7.888933,54.258
245279000,1755057801.0,1755110801.0,14.722,10.59,56.370202,17.023687,58.71022,19.121195,155.89
211470030,1755149387.0,1755172075.0,6.302,3.29,53.657597,6.513357,53.999257,6.596135,20.722
211163700,1755075114.0,1755122650.0,13.204,1.95,53.818955,9.361228,53.524888,9.889822,25.792
205128000,1755145573.0,1755190143.0,12.381,1.35,56.006273,5.596342,55.728758,5.555715,16.718
215908000,1755156018.0,1755175502.0,5.412,4.76,53.494565,14.620072,53.87236,14.275845,25.775
259495000,1755118490.0,1755136693.0,5.056,22.52,55.174205,20.844098,54.958785,17.552495,113.893
265820920,1755104430.0,1755148046.0,12.116,2.24,58.312913,11.334772,58.756755,11.17833,27.096
