mmsi,start_ts,end_ts,avg_lat,avg_lon,min_sog
211886030,1755043200.0,1755080087.0,53.622945,7.154653,0.0
219026000,1755057408.0,1755066387.0,55.098459,14.689606,0.0
219026000,1755087742.0,1755096712.0,55.098449,14.689616,0.0
219026000,1755115764.0,1755124474.0,55.455576,12.196941,0.0
219026000,1755143549.0,1755151081.0,55.098468,14.68961,0.0
219026000,1755202153.0,1755211593.0,55.455565,12.196951,0.0
219459000,1755075011.0,1755086287.0,55.220666,7.185004,0.1
219459000,1755151613.0,1755168553.0,55.217625,7.189299,0.0
219459000,1755169013.0,1755177619.0,55.216979,7.18996,0.0
219459000,1755200610.0,1755212129.0,55.131538,7.284449,0.2
219032932,1755043200.0,1755076041.0,57.72002,10.594436,0.0
219032932,1755086380.0,1755117461.0,57.720017,10.594448,0.0
219032932,1755123420.0,1755150620.0,57.720021,10.594431,0.0
219032932,1755151022.0,1755163441.0,57.715887,10.585749,0.0
219032932,1755163802.0,1755172760.0,57.720011,10.594438,0.0
219032932,1755177021.0,1755215981.0,57.720018,10.594439,0.0
212949000,1755048172.0,1755057042.0,53.883668,9.102478,0.0
212949000,1755150203.0,1755194527.0,55.623369,12.999296,0.0
232018154,1755048880.0,1755105101.0,56.763232,2.276997,0.0
232018154,1755109560.0,1755143519.0,56.770089,2.254358,0.0
636017416,1755071611.0,1755126481.0,57.681859,10.674433,0.0
244116000,1755129352.0,1755137514.0,57.713062,10.587444,0.0
219002827,1755059221.0,1755103924.0,57.717473,10.587314,0.0
219002827,1755145581.0,1755215991.0,57.717467,10.587316,0.0
218143000,1755043201.0,1755111831.0,54.491977,11.280354,0.0
218143000,1755118872.0,1755146943.0,54.492336,11.28041,0.0
218143000,1755149565.0,1755191702.0,54.492356,11.280507,0.0
265036400,1755043201.0,1755068461.0,57.685757,11.886551,0.0
265036400,1755074093.0,1755166051.0,57.70729,11.663358,0.0
265036400,1755173746.0,1755215087.0,57.685642,11.886185,0.0
246058000,1755046772.0,1755059427.0,54.478895,13.626321,0.0
246058000,1755060748.0,1755088322.0,54.483299,13.592977,0.0
246058000,1755111962.0,1755127562.0,54.478035,13.621564,0.0
246058000,1755139685.0,1755149223.0,54.479057,13.626964,0.0
246058000,1755149943.0,1755166499.0,54.478774,13.623222,0.0
246058000,1755190625.0,1755212662.0,54.478663,13.620162,0.0
211205970,1755043202.0,1755063529.0,54.967353,7.653035,0.0
211205970,1755115387.0,1755124459.0,53.519678,8.559039,0.0
211205970,1755127698.0,1755139759.0,53.518711,8.556625,0.0
211205970,1755150887.0,1755172014.0,53.523249,8.574285,0.0
211205970,1755172374.0,1755212693.0,53.540523,8.562635,0.0
211232340,1755068773.0,1755112720.0,55.309514,9.789752,0.0
211232340,1755124172.0,1755215904.0,55.467817,9.741163,0.0
255999000,1755069061.0,1755077683.0,54.265482,2.901906,0.1
266384000,1755070418.0,1755098541.0,57.682554,11.649117,0.0
266384000,1755165778.0,1755215982.0,57.68255,11.649094,0.0
219022265,1755044298.0,1755065395.0,55.469205,10.532265,0.0
219022265,1755085128.0,1755137413.0,55.559022,9.755836,0.0
219022265,1755180056.0,1755215915.0,55.67716,11.088187,0.0
265511440,1755043203.0,1755066314.0,56.65972,12.852871,0.0
265511440,1755068585.0,1755083895.0,56.659847,12.853073,0.0
265511440,1755094412.0,1755111491.0,56.659848,12.853082,0.0
265511440,1755114873.0,1755123281.0,56.659854,12.853078,0.0
265511440,1755123321.0,1755138381.0,56.659857,12.853066,0.0
265511440,1755141502.0,1755201411.0,56.659841,12.853072,0.0
265511440,1755204815.0,1755215984.0,56.659767,12.852961,0.0
249596000,1755062923.0,1755107112.0,55.690187,12.600421,0.0
249596000,1755150940.0,1755194564.0,57.700564,11.932083,0.0
266254000,1755136874.0,1755202443.0,57.682739,11.649651,0.0
246849000,1755079923.0,1755196243.0,53.318935,7.026251,0.0
248219000,1755061680.0,1755103117.0,55.087576,14.693346,0.0
248219000,1755131350.0,1755140612.0,54.978673,15.742793,0.0
248219000,1755204492.0,1755213222.0,54.96528,19.978342,0.0
265030800,1755043203.0,1755091620.0,56.157417,14.877341,0.0
265030800,1755093601.0,1755120535.0,56.157419,14.877344,0.0
265030800,1755122035.0,1755145922.0,56.157425,14.877344,0.0
265030800,1755148032.0,1755158656.0,56.157416,14.877344,0.0
265030800,1755161542.0,1755169197.0,56.157414,14.877336,0.0
265030800,1755170500.0,1755205855.0,56.157413,14.877338,0.0
