mmsi,dfsi,max_gap_hours,largest_jump_nm,draft_change_count,map_lat,map_lon,anomaly_flags
636015357,671.4987,0.0,6714.987,0,54.481545,11.603168,"D(jumps=44,max=6715nm)"
256746000,429.6823,0.0,4296.823,0,54.2334,9.606617,"D(jumps=1,max=4297nm)"
261000840,380.0964,0.0,3800.964,0,18.93975,84.656627,"D(jumps=5,max=3801nm)"
246602000,352.0654,0.0,3520.654,0,-0.000353,-0.000205,"B(events=1) | D(jumps=17,max=3521nm)"
265511420,346.299,0.0,3462.99,0,0.0,11.766703,"B(events=8) | D(jumps=4,max=3463nm)"
219001262,344.9652,0.0,3449.652,0,-3.05598,11.098512,"B(events=4) | D(jumps=1,max=3450nm)"
219009229,343.3747,0.0,3433.747,0,0.7,1.333333,"B(events=16) | D(jumps=19,max=3434nm)"
244000528,330.2226,0.0,3302.226,0,0.094625,10.240208,"B(events=9) | D(jumps=2,max=3302nm)"
220356000,330.2225,0.0,3302.225,0,0.059663,10.616943,"B(events=19) | D(jumps=1,max=3302nm)"
244020098,324.234,0.0,3242.34,0,54.019257,8.247652,"D(jumps=3,max=3242nm)"
232059393,316.5673,7.209,3129.63,0,55.124808,17.732242,"A(gaps=1,max=7.2h) | D(jumps=35,max=3130nm)"
305155000,257.605,0.0,2576.05,0,55.0297,20.2785,"D(jumps=9,max=2576nm)"
219000962,246.8257,0.0,2468.257,0,56.891705,9.164795,"D(jumps=85,max=2468nm)"
244830667,240.1618,0.0,2401.618,0,16.444828,7.682215,"B(events=11) | D(jumps=1,max=2402nm)"
218818000,236.3066,0.0,2363.066,0,53.205248,4.413848,"D(jumps=6,max=2363nm)"
246878000,221.6176,0.0,2216.176,0,24.134247,-8.576647,"B(events=1) | D(jumps=9,max=2216nm)"
212963000,199.5123,21.377,1888.238,0,55.411645,20.638647,"A(gaps=1,max=21.4h) | D(jumps=6,max=1888nm)"
246354000,168.3898,0.0,1683.898,0,27.793425,15.830447,"D(jumps=3,max=1684nm)"
636091784,137.6351,0.0,1376.351,0,54.946333,18.186333,"D(jumps=8,max=1376nm)"
