mmsi,loiter_event_count,sample_lat,sample_lon
211886030,8,53.624468,7.156195
211272260,23,53.624468,7.156195
218055770,17,53.624352,7.15708
211138050,8,53.623066,7.155994
211237980,12,53.622765,7.154669
211272270,26,53.624207,7.156192
218515000,16,53.622403,7.154892
211219330,11,53.622675,7.154643
211374390,11,53.623006,7.154756
219026000,20,55.096807,14.691759
219173000,21,55.096807,14.691759
219001058,25,55.099094,14.691363
219000896,19,55.09911,14.691813
219000558,17,55.097419,14.687862
305440000,23,55.099136,14.691543
219017081,33,55.098515,14.691654
258184000,28,55.097148,14.691788
311513000,5,55.096247,14.689705
231873000,8,55.098636,14.688707
305286000,9,55.098109,14.688584
220431000,10,55.09888,14.691911
219032932,80,57.718086,10.595862
219031289,36,57.718086,10.595862
219022257,56,57.719932,10.593065
219029579,13,57.719299,10.595229
219019067,59,57.719708,10.5934
219001111,55,57.719465,10.593187
219034389,56,57.720457,10.59453
219001849,47,57.719138,10.59363
219017733,51,57.719944,10.594172
219031797,68,57.720095,10.594658
219025535,73,57.719775,10.592284
259223000,71,57.719011,10.592727
219026706,58,57.719932,10.593001
219014435,40,57.72019,10.594599
219026170,18,57.719188,10.596888
219030383,24,57.719156,10.596808
219030593,40,57.719231,10.595129
219002827,50,57.716677,10.586533
219005867,41,57.715596,10.584225
250004765,33,57.716276,10.583855
219024000,39,57.716704,10.58611
219002973,58,57.716809,10.585857
219024767,44,57.71574,10.586716
265328000,36,57.716858,10.586117
219801000,29,57.715698,10.58528
311000608,7,57.714629,10.587236
219034482,45,57.715511,10.584584
220333000,45,57.716749,10.586379
219005956,47,57.715812,10.585556
244710047,39,57.715658,10.584019
265043000,22,57.719121,10.596108
219023738,10,57.720157,10.593532
219023313,15,57.720067,10.593247
212949000,1,55.623843,12.996908
620800145,11,55.623843,12.996908
636017416,2,57.682127,10.674349
265012140,4,57.68165,10.67425
244116000,8,57.714821,10.587242
219010873,65,57.714821,10.587242
219007034,46,57.714624,10.586941
219022300,93,57.714695,10.587005
219020578,55,57.714263,10.586853
219015153,30,57.716473,10.586042
219355000,12,57.716061,10.589426
247389200,12,57.715564,10.588465
265040060,22,57.717903,10.587823
220329000,12,57.716672,10.586513
269109480,25,57.717835,10.587115
219007027,31,57.716666,10.586538
220343000,31,57.717591,10.586474
265036400,14,57.68573,11.888898
265044200,15,57.68573,11.888898
231859000,12,57.685544,11.886867
231809000,5,57.685519,11.887155
231846000,11,57.685549,11.886551
265721780,17,57.685829,11.886209
230179120,10,57.706904,11.662357
265553750,4,57.707024,11.663162
265318000,12,57.707252,11.66192
265513810,6,57.709066,11.661068
231848000,9,57.707719,11.664715
246058000,4,54.483457,13.594936
219012162,2,54.483457,13.594936
257356000,6,54.481928,13.595469
219026489,10,54.484362,13.590698
244645000,5,54.478906,13.626752
211205970,9,53.525118,8.575689
211378190,29,53.525118,8.575689
245895000,45,53.52417,8.576146
244875000,41,53.523748,8.57639
211282860,22,53.523561,8.574299
246253000,42,53.523801,8.576459
246337000,40,53.523555,8.576584
245115000,21,53.524311,8.576082
211205920,30,53.524454,8.575982
211812980,22,53.523852,8.574331
266384000,10,57.682733,11.649691
265660130,4,57.682733,11.649691
265048100,12,57.681975,11.649116
266254000,6,57.682644,11.649373
266095000,8,57.682235,11.648786
266128000,8,57.682283,11.648808
266064000,6,57.682597,11.649226
219022265,9,55.468732,10.531545
255806433,6,55.468732,10.531545
220476000,19,55.468663,10.530817
219024597,5,55.468882,10.531082
212654000,5,55.467931,10.530289
219000179,18,55.559458,9.756412
211389490,13,55.559511,9.756252
219026257,19,55.559602,9.754826
220272000,16,55.5592,9.755804
265511440,31,56.658268,12.854473
257076850,6,56.658268,12.854473
265608060,16,56.661154,12.85502
231801000,15,56.661021,12.854902
265582600,16,56.659694,12.852866
255915581,8,56.65858,12.854959
249596000,4,55.689611,12.59973
219031896,6,55.689611,12.59973
319182500,9,55.688085,12.599117
