mmsi_a,mmsi_b,start_ts,end_ts,duration_hours,distance_metres,lat,lon
211886030,211272260,1755043228.0,1755059280.0,4.459,395.0,53.624468,7.156195
211886030,218055770,1755043212.0,1755060081.0,4.686,447.6,53.624352,7.15708
211886030,211138050,1755053901.0,1755075168.0,5.907,178.9,53.623066,7.155994
211886030,211237980,1755043969.0,1755080087.0,10.033,40.0,53.622765,7.154669
211886030,211272270,1755043357.0,1755057382.0,3.896,346.4,53.624207,7.156192
211886030,218515000,1755043486.0,1755057707.0,3.95,124.6,53.622403,7.154892
211886030,211219330,1755044465.0,1755064665.0,5.611,59.9,53.622675,7.154643
211886030,211374390,1755044695.0,1755057676.0,3.606,19.2,53.623006,7.154756
219026000,219173000,1755057408.0,1755066387.0,2.494,458.3,55.096807,14.691759
219026000,219001058,1755057408.0,1755066387.0,2.494,264.4,55.099094,14.691363
219026000,219000896,1755057408.0,1755066387.0,2.494,316.0,55.09911,14.691813
219026000,219000558,1755057408.0,1755066387.0,2.494,320.6,55.097419,14.687862
219026000,305440000,1755057408.0,1755066387.0,2.494,288.8,55.099136,14.691543
219026000,219017081,1755057408.0,1755066387.0,2.494,260.8,55.098515,14.691654
219026000,258184000,1755087742.0,1755096712.0,2.492,400.2,55.097148,14.691788
219026000,219001058,1755087742.0,1755096712.0,2.492,264.5,55.09909,14.691367
219026000,219000896,1755087742.0,1755096712.0,2.492,315.9,55.099105,14.691819
219026000,305440000,1755087742.0,1755096712.0,2.492,288.9,55.099131,14.691548
219026000,311513000,1755087742.0,1755096712.0,2.492,489.8,55.096247,14.689705
219026000,219017081,1755087742.0,1755096712.0,2.492,260.2,55.09851,14.691658
219026000,258184000,1755143549.0,1755151081.0,2.092,402.0,55.097157,14.691785
219026000,219173000,1755143549.0,1755151081.0,2.092,460.0,55.096809,14.691769
219026000,219001058,1755143549.0,1755151081.0,2.092,263.8,55.099099,14.691366
219026000,219000896,1755143549.0,1755151081.0,2.092,315.3,55.099114,14.691816
219026000,231873000,1755143549.0,1755151081.0,2.092,120.8,55.098636,14.688707
219026000,305286000,1755143549.0,1755151081.0,2.092,153.0,55.098109,14.688584
219026000,220431000,1755143549.0,1755151081.0,2.092,306.8,55.09888,14.691911
219026000,305440000,1755143549.0,1755151081.0,2.092,288.1,55.099141,14.691544
219032932,219031289,1755043323.0,1755076041.0,9.088,462.4,57.718086,10.595862
219032932,219022257,1755046363.0,1755057013.0,2.958,164.0,57.719932,10.593065
219032932,219029579,1755043201.0,1755076041.0,9.122,186.1,57.719299,10.595229
219032932,219019067,1755043204.0,1755063847.0,5.734,141.3,57.719708,10.5934
219032932,219001111,1755043227.0,1755076041.0,9.115,193.0,57.719465,10.593187
219032932,219034389,1755043360.0,1755076041.0,9.078,97.9,57.720457,10.59453
219032932,219001849,1755043207.0,1755076041.0,9.121,218.2,57.719138,10.59363
219032932,219017733,1755059999.0,1755070324.0,2.868,35.6,57.719944,10.594172
219032932,219031797,1755043203.0,1755051382.0,2.272,31.3,57.720095,10.594658
219032932,219031797,1755054985.0,1755074229.0,5.346,30.7,57.720096,10.594652
219032932,219025535,1755043204.0,1755076041.0,9.121,261.3,57.719775,10.592284
219032932,259223000,1755043207.0,1755076041.0,9.121,302.5,57.719011,10.592727
219032932,219031289,1755086380.0,1755117461.0,8.634,461.8,57.718084,10.595868
219032932,219026706,1755107119.0,1755117461.0,2.873,172.8,57.719932,10.593001
219032932,219029579,1755086380.0,1755094393.0,2.226,185.4,57.719297,10.595235
219032932,219019067,1755098443.0,1755117461.0,5.283,141.5,57.719707,10.593408
219032932,219001111,1755086380.0,1755117461.0,8.634,193.4,57.719463,10.593193
219032932,219034389,1755086380.0,1755104446.0,5.018,98.2,57.720456,10.594536
219032932,219034389,1755109200.0,1755117461.0,2.295,98.2,57.720455,10.594544
219032932,219014435,1755094118.0,1755117461.0,6.484,42.4,57.72019,10.594599
219032932,219026170,1755094983.0,1755117461.0,6.244,343.5,57.719188,10.596888
219032932,219001849,1755086380.0,1755117461.0,8.634,218.2,57.719136,10.593636
219032932,219017733,1755087644.0,1755117461.0,8.283,35.2,57.719946,10.594182
219032932,219031797,1755094039.0,1755109429.0,4.275,30.6,57.72009,10.594666
219032932,219025535,1755086380.0,1755117461.0,8.634,261.9,57.719774,10.592291
219032932,259223000,1755086380.0,1755117461.0,8.634,302.8,57.719009,10.592733
219032932,219030383,1755123420.0,1755150620.0,7.556,341.7,57.719156,10.596808
219032932,219031289,1755123420.0,1755150620.0,7.556,462.6,57.718086,10.59586
219032932,219026706,1755130304.0,1755149186.0,5.245,172.6,57.719931,10.592988
219032932,219030593,1755139028.0,1755150620.0,3.22,194.3,57.719231,10.595129
219032932,219019067,1755123420.0,1755150620.0,7.556,140.8,57.719709,10.5934
219032932,219001111,1755123420.0,1755150620.0,7.556,192.9,57.719465,10.593184
219032932,219034389,1755123420.0,1755150620.0,7.556,97.9,57.720458,10.594535
219032932,219014435,1755133207.0,1755150620.0,4.837,41.8,57.720191,10.594579
219032932,219001849,1755123420.0,1755150620.0,7.556,218.2,57.719138,10.593628
219032932,219017733,1755123420.0,1755150620.0,7.556,34.5,57.719949,10.594174
219032932,219031797,1755123420.0,1755149800.0,7.328,31.7,57.720099,10.594655
219032932,219025535,1755123420.0,1755150620.0,7.556,261.0,57.719776,10.592282
219032932,259223000,1755123420.0,1755150620.0,7.556,302.4,57.719012,10.592725
219032932,219002827,1755151022.0,1755163441.0,3.45,198.8,57.716677,10.586533
219032932,219005867,1755151022.0,1755163441.0,3.45,192.2,57.715596,10.584225
219032932,250004765,1755151022.0,1755163441.0,3.45,241.1,57.716276,10.583855
219032932,219024000,1755151022.0,1755163441.0,3.45,186.7,57.716704,10.58611
219032932,219002973,1755151022.0,1755163441.0,3.45,205.6,57.716809,10.585857
219032932,219024767,1755151022.0,1755163441.0,3.45,119.4,57.71574,10.586716
219032932,265328000,1755151022.0,1755163441.0,3.45,220.2,57.716858,10.586117
219032932,219801000,1755151022.0,1755163441.0,3.45,69.8,57.715698,10.58528
219032932,311000608,1755151022.0,1755163441.0,3.45,331.0,57.714629,10.587236
219032932,219034482,1755151022.0,1755163441.0,3.45,161.7,57.715511,10.584584
219032932,220333000,1755151022.0,1755163441.0,3.45,205.8,57.716749,10.586379
219032932,219005956,1755151022.0,1755163441.0,3.45,28.4,57.715812,10.585556
219032932,219025535,1755151022.0,1755163441.0,3.45,481.6,57.717709,10.587941
219032932,244710047,1755151022.0,1755163441.0,3.45,211.7,57.715658,10.584019
219032932,219031289,1755163802.0,1755172760.0,2.488,461.4,57.718081,10.595864
219032932,219026706,1755163802.0,1755172760.0,2.488,172.8,57.719927,10.592992
219032932,219030593,1755163802.0,1755172760.0,2.488,193.1,57.719226,10.595133
219032932,219001111,1755163802.0,1755172760.0,2.488,192.5,57.71946,10.593188
219032932,219034389,1755163802.0,1755172760.0,2.488,98.9,57.720453,10.594539
219032932,219001849,1755163802.0,1755172760.0,2.488,217.4,57.719133,10.593632
219032932,265043000,1755163802.0,1755172760.0,2.488,280.2,57.719121,10.596108
219032932,219031797,1755163802.0,1755172760.0,2.488,31.3,57.720087,10.59466
219032932,219025535,1755163802.0,1755172760.0,2.488,261.2,57.719771,10.592285
219032932,259223000,1755163802.0,1755172760.0,2.488,301.9,57.719006,10.592728
219032932,219031289,1755177021.0,1755215976.0,10.821,462.1,57.718085,10.595864
219032932,219023738,1755191328.0,1755202824.0,3.193,112.2,57.720157,10.593532
219032932,219026706,1755178025.0,1755215981.0,10.543,173.0,57.719929,10.592992
219032932,219022257,1755178521.0,1755189751.0,3.119,163.4,57.719932,10.593073
219032932,219022257,1755194100.0,1755205049.0,3.041,162.8,57.71994,10.593076
219032932,219022257,1755208156.0,1755215981.0,2.174,162.6,57.719935,10.593079
219032932,219030593,1755177021.0,1755215981.0,10.822,192.4,57.719234,10.595125
219032932,219019067,1755182107.0,1755195610.0,3.751,140.8,57.71971,10.593404
219032932,219019067,1755208274.0,1755215981.0,2.141,140.6,57.71971,10.593405
219032932,219001111,1755177021.0,1755215859.0,10.788,193.0,57.719464,10.593189
219032932,219034389,1755180235.0,1755215944.0,9.919,98.1,57.720456,10.594531
219032932,219001849,1755177021.0,1755215981.0,10.822,218.1,57.719137,10.593632
219032932,219017733,1755177021.0,1755188783.0,3.267,34.8,57.719947,10.594178
219032932,219017733,1755197264.0,1755213513.0,4.514,34.8,57.719947,10.594178
219032932,219023313,1755183035.0,1755215981.0,9.152,142.0,57.720067,10.593247
219032932,219025535,1755177021.0,1755215981.0,10.822,261.4,57.719774,10.592286
219032932,259223000,1755177021.0,1755215981.0,10.822,302.5,57.71901,10.592729
212949000,620800145,1755150203.0,1755194527.0,12.312,317.9,55.623843,12.996908
636017416,219014435,1755080383.0,1755091783.0,3.167,60.4,57.682127,10.674349
636017416,265012140,1755078421.0,1755123868.0,12.624,51.4,57.68165,10.67425
244116000,219010873,1755129352.0,1755137514.0,2.267,391.9,57.714821,10.587242
244116000,219007034,1755129352.0,1755137514.0,2.267,352.4,57.714624,10.586941
244116000,219024767,1755129352.0,1755137514.0,2.267,281.8,57.714327,10.587563
244116000,219801000,1755129352.0,1755137514.0,2.267,313.7,57.714285,10.586128
244116000,219022300,1755129352.0,1755137514.0,2.267,366.9,57.714695,10.587005
244116000,219020578,1755129352.0,1755137514.0,2.267,276.1,57.714263,10.586853
244116000,219034482,1755129352.0,1755137514.0,2.267,332.0,57.714098,10.585431
244116000,219005956,1755129352.0,1755137514.0,2.267,322.0,57.714399,10.586403
219002827,219005867,1755059221.0,1755101437.0,11.727,364.6,57.716388,10.585013
219002827,219024000,1755063773.0,1755103881.0,11.141,50.5,57.717496,10.586892
219002827,219002973,1755059221.0,1755077537.0,5.088,85.7,57.717602,10.586634
219002827,219002973,1755091879.0,1755103924.0,3.346,85.1,57.717602,10.58664
219002827,219015153,1755070945.0,1755094809.0,6.629,268.8,57.716473,10.586042
219002827,219355000,1755070870.0,1755084547.0,3.799,401.8,57.716061,10.589426
219002827,219010873,1755087374.0,1755097971.0,2.944,102.0,57.71702,10.587182
219002827,219024767,1755059221.0,1755076407.0,4.774,206.6,57.716549,10.58749
219002827,219024767,1755095922.0,1755103924.0,2.223,210.2,57.716533,10.587498
219002827,247389200,1755062802.0,1755101046.0,10.623,446.1,57.715564,10.588465
219002827,219022300,1755077135.0,1755102548.0,7.059,133.4,57.716906,10.586946
219002827,219020578,1755085519.0,1755103924.0,5.112,232.1,57.716468,10.586788
219002827,219001111,1755059221.0,1755103924.0,12.418,317.7,57.718191,10.589626
219002827,219034482,1755059221.0,1755103924.0,12.418,348.1,57.716303,10.585366
219002827,220333000,1755059221.0,1755103686.0,12.351,23.9,57.717542,10.58716
219002827,219005956,1755059221.0,1755103924.0,12.418,225.2,57.716605,10.586339
219002827,265040060,1755059221.0,1755068092.0,2.464,113.2,57.717903,10.587823
219002827,220329000,1755071514.0,1755087829.0,4.532,202.0,57.716672,10.586513
219002827,219025535,1755059221.0,1755103924.0,12.418,283.5,57.718502,10.588724
219002827,259223000,1755059221.0,1755103924.0,12.418,227.8,57.717737,10.589166
219002827,219005867,1755145581.0,1755215991.0,19.558,364.6,57.716386,10.585009
219002827,219024000,1755149823.0,1755189320.0,10.971,50.5,57.717494,10.586893
219002827,219002973,1755145581.0,1755163917.0,5.093,85.4,57.717599,10.586641
219002827,219002973,1755178288.0,1755215991.0,10.473,84.8,57.717597,10.586644
219002827,269109480,1755180305.0,1755209026.0,7.978,85.4,57.717835,10.587115
219002827,219010873,1755173368.0,1755202791.0,8.173,100.7,57.717021,10.587176
219002827,219007034,1755192789.0,1755215988.0,6.444,152.6,57.716823,10.586873
219002827,219024767,1755145581.0,1755180468.0,9.691,209.5,57.71653,10.587499
219002827,265328000,1755145581.0,1755215991.0,19.558,63.6,57.717647,10.5869
219002827,219026706,1755155830.0,1755173074.0,4.79,364.5,57.718655,10.58943
219002827,219026706,1755178025.0,1755215991.0,10.546,364.3,57.718654,10.58943
219002827,219801000,1755145581.0,1755215991.0,19.558,263.8,57.716487,10.586064
219002827,219022257,1755166652.0,1755174553.0,2.195,370.9,57.718653,10.589513
219002827,219022257,1755178521.0,1755189751.0,3.119,371.4,57.718656,10.589512
219002827,219022257,1755194100.0,1755205049.0,3.041,373.1,57.718665,10.589514
219002827,219022257,1755208156.0,1755215991.0,2.176,372.4,57.71866,10.589517
219002827,219007027,1755190714.0,1755215990.0,7.021,200.7,57.716666,10.586538
219002827,220343000,1755189263.0,1755215988.0,7.424,103.7,57.717591,10.586474
219002827,219022300,1755169674.0,1755185464.0,4.386,132.9,57.716905,10.586936
219002827,219022300,1755198365.0,1755210784.0,3.45,133.7,57.716899,10.586946
219002827,219020578,1755173889.0,1755215988.0,11.694,232.4,57.71646,10.586789
219002827,311000608,1755146261.0,1755167315.0,5.848,463.2,57.715418,10.588019
219002827,219001111,1755145581.0,1755215859.0,19.522,317.9,57.718188,10.589627
219002827,219034482,1755145581.0,1755215991.0,19.558,347.7,57.716301,10.585368
219002827,220333000,1755145581.0,1755190466.0,12.468,24.3,57.717539,10.587162
219002827,219005956,1755145581.0,1755215991.0,19.558,224.7,57.716601,10.586339
219002827,219023313,1755183035.0,1755215991.0,9.154,407.3,57.718791,10.589685
219002827,219025535,1755145581.0,1755215991.0,19.558,284.0,57.718499,10.588724
219002827,259223000,1755145581.0,1755215991.0,19.558,227.8,57.717734,10.589167
265036400,265044200,1755043708.0,1755068223.0,6.81,279.1,57.68573,11.888898
265036400,231859000,1755044704.0,1755068461.0,6.599,60.4,57.685544,11.886867
265036400,231809000,1755043256.0,1755068461.0,7.001,89.3,57.685519,11.887155
265036400,231846000,1755043370.0,1755068461.0,6.97,46.3,57.685549,11.886551
265036400,265721780,1755047225.0,1755064693.0,4.852,43.7,57.685829,11.886209
265036400,230179120,1755074093.0,1755166051.0,25.544,146.7,57.706904,11.662357
265036400,265553750,1755074093.0,1755085038.0,3.04,63.7,57.707024,11.663162
265036400,265318000,1755074093.0,1755166051.0,25.544,171.1,57.707252,11.66192
265036400,265513810,1755079477.0,1755087087.0,2.114,479.7,57.709066,11.661068
265036400,265513810,1755120743.0,1755140637.0,5.526,479.3,57.709063,11.661065
265036400,231848000,1755130936.0,1755144921.0,3.885,187.4,57.707719,11.664715
265036400,231859000,1755173746.0,1755203628.0,8.301,66.7,57.685493,11.886672
265036400,231848000,1755173746.0,1755184883.0,3.094,108.1,57.685448,11.887018
265036400,231846000,1755173746.0,1755215087.0,11.484,39.3,57.685493,11.886364
246058000,219012162,1755060748.0,1755081304.0,5.71,255.5,54.483457,13.594936
246058000,257356000,1755060748.0,1755088322.0,7.659,443.4,54.481928,13.595469
