CMDLINE python cli.py
MEM 0.562500 1775679269.5278
MEM 21.019531 1775679269.6281
MEM 21.019531 1775679269.7284
MEM 21.468750 1775679269.8287
MEM 21.488281 1775679269.9289
MEM 21.500000 1775679270.0291
MEM 21.511719 1775679270.1293
MEM 21.523438 1775679270.2295
MEM 21.527344 1775679270.3297
MEM 21.531250 1775679270.4300
MEM 21.535156 1775679270.5302
MEM 21.539062 1775679270.6305
MEM 21.605469 1775679270.7307
MEM 21.609375 1775679270.8310
MEM 21.609375 1775679270.9313
MEM 21.613281 1775679271.0315
MEM 21.613281 1775679271.1317
MEM 21.617188 1775679271.2324
MEM 21.617188 1775679271.3326
MEM 21.621094 1775679271.4328
MEM 21.621094 1775679271.5331
MEM 21.625000 1775679271.6333
MEM 21.625000 1775679271.7336
MEM 21.625000 1775679271.8338
MEM 21.628906 1775679271.9341
MEM 21.628906 1775679272.0343
MEM 21.628906 1775679272.1346
MEM 21.628906 1775679272.2349
MEM 21.632812 1775679272.3351
MEM 21.632812 1775679272.4354
MEM 21.632812 1775679272.5356
MEM 21.632812 1775679272.6358
MEM 21.632812 1775679272.7361
MEM 21.636719 1775679272.8364
MEM 21.636719 1775679272.9366
MEM 21.636719 1775679273.0368
MEM 21.636719 1775679273.1371
MEM 21.640625 1775679273.2374
MEM 21.640625 1775679273.3376
MEM 21.640625 1775679273.4379
MEM 21.640625 1775679273.5381
MEM 21.640625 1775679273.6384
MEM 21.640625 1775679273.7386
MEM 21.640625 1775679273.8389
MEM 21.644531 1775679273.9392
MEM 21.644531 1775679274.0394
MEM 21.644531 1775679274.1397
MEM 21.644531 1775679274.2399
MEM 21.644531 1775679274.3401
MEM 21.644531 1775679274.4404
MEM 21.644531 1775679274.5406
MEM 21.648438 1775679274.6409
MEM 21.648438 1775679274.7412
MEM 21.648438 1775679274.8414
MEM 21.648438 1775679274.9417
MEM 21.648438 1775679275.0419
MEM 21.648438 1775679275.1422
MEM 21.648438 1775679275.2425
MEM 21.648438 1775679275.3427
MEM 21.648438 1775679275.4429
MEM 21.652344 1775679275.5432
MEM 21.652344 1775679275.6435
MEM 21.652344 1775679275.7438
MEM 21.652344 1775679275.8441
MEM 21.652344 1775679275.9443
MEM 21.652344 1775679276.0445
MEM 21.652344 1775679276.1448
MEM 21.652344 1775679276.2450
MEM 21.652344 1775679276.3452
MEM 21.652344 1775679276.4455
MEM 21.652344 1775679276.5457
MEM 21.652344 1775679276.6460
MEM 21.656250 1775679276.7462
MEM 21.656250 1775679276.8465
MEM 21.656250 1775679276.9467
MEM 21.656250 1775679277.0470
MEM 21.656250 1775679277.1472
MEM 21.656250 1775679277.2474
MEM 21.656250 1775679277.3477
MEM 21.656250 1775679277.4479
MEM 21.656250 1775679277.5481
MEM 21.656250 1775679277.6484
MEM 21.656250 1775679277.7486
MEM 21.656250 1775679277.8489
MEM 21.656250 1775679277.9491
MEM 21.656250 1775679278.0493
MEM 21.660156 1775679278.1500
MEM 21.660156 1775679278.2502
MEM 21.660156 1775679278.3505
MEM 21.660156 1775679278.4511
MEM 21.660156 1775679278.5513
MEM 21.660156 1775679278.6516
MEM 21.660156 1775679278.7518
MEM 21.660156 1775679278.8521
MEM 21.660156 1775679278.9523
MEM 21.660156 1775679279.0525
MEM 21.660156 1775679279.1528
MEM 21.660156 1775679279.2530
MEM 21.660156 1775679279.3532
MEM 21.660156 1775679279.4534
MEM 21.660156 1775679279.5537
MEM 21.664062 1775679279.6539
MEM 21.664062 1775679279.7542
MEM 21.664062 1775679279.8544
MEM 21.664062 1775679279.9547
MEM 21.664062 1775679280.0549
MEM 21.664062 1775679280.1551
MEM 21.664062 1775679280.2553
MEM 21.664062 1775679280.3556
MEM 21.664062 1775679280.4558
MEM 21.664062 1775679280.5565
MEM 21.664062 1775679280.6567
MEM 21.664062 1775679280.7570
MEM 21.664062 1775679280.8572
MEM 21.664062 1775679280.9575
MEM 21.664062 1775679281.0577
MEM 21.664062 1775679281.1579
MEM 21.664062 1775679281.2581
MEM 21.664062 1775679281.3584
MEM 21.664062 1775679281.4586
MEM 21.664062 1775679281.5589
MEM 21.664062 1775679281.6591
MEM 21.664062 1775679281.7594
MEM 21.664062 1775679281.8596
MEM 21.664062 1775679281.9598
MEM 21.664062 1775679282.0600
MEM 21.667969 1775679282.1606
MEM 21.667969 1775679282.2609
MEM 21.667969 1775679282.3611
MEM 21.667969 1775679282.4614
MEM 21.667969 1775679282.5616
MEM 21.667969 1775679282.6619
MEM 21.667969 1775679282.7621
MEM 21.667969 1775679282.8624
MEM 21.667969 1775679282.9626
MEM 21.667969 1775679283.0629
MEM 21.667969 1775679283.1631
MEM 21.667969 1775679283.2633
MEM 21.667969 1775679283.3635
MEM 21.667969 1775679283.4638
MEM 21.667969 1775679283.5640
MEM 21.667969 1775679283.6642
MEM 21.667969 1775679283.7645
MEM 21.667969 1775679283.8648
MEM 21.667969 1775679283.9650
MEM 21.667969 1775679284.0652
MEM 21.671875 1775679284.1655
MEM 21.671875 1775679284.2663
MEM 21.671875 1775679284.3669
MEM 21.671875 1775679284.4672
MEM 21.671875 1775679284.5674
MEM 21.671875 1775679284.6676
MEM 21.671875 1775679284.7678
MEM 21.671875 1775679284.8681
MEM 21.671875 1775679284.9684
MEM 21.671875 1775679285.0686
MEM 21.671875 1775679285.1688
MEM 21.671875 1775679285.2690
MEM 21.671875 1775679285.3693
MEM 21.671875 1775679285.4695
MEM 21.671875 1775679285.5698
MEM 21.671875 1775679285.6700
